x_coor,y_coor,price,bedrooms,bathrooms,sqft_lot,grade,sqft_living15,sqft_lot15
-122.257,47.5112,12.3099821089207,3,1,5650,7,1340,5650
-122.319,47.721,13.1956138391439,3,2.25,7242,7,1690,7639
-122.233,47.7379,12.1007121298723,2,1,10000,6,2720,8062
-122.393,47.5208,13.311329476917,4,3,5000,7,1360,5000
-122.045,47.6168,13.1421660047005,3,2,8080,8,1800,7503
-122.005,47.6561,14.0225247273486,4,4.5,101930,11,4760,101930
-122.327,47.3097,12.4587749990859,3,2.25,6819,7,2238,6819
-122.315,47.4095,12.5839952506319,3,1.5,9711,7,1650,9711
-122.337,47.5123,12.3436583084827,3,1,7470,7,1780,8113
-122.031,47.3684,12.6854076022048,3,2.5,6560,7,2390,7570
-122.145,47.6007,13.4037758368425,3,2.5,9796,8,2210,8925
-122.292,47.69,13.0562235748998,2,1,6000,7,1330,6000
-122.229,47.7558,12.6443275764613,3,1,19901,7,1780,12697
-122.045,47.6127,12.8992198260901,3,1.75,9680,7,1370,10208
-122.394,47.67,13.1806322855283,5,2,4850,7,1360,4850
-122.375,47.5714,13.3847276418718,4,3,5000,9,2140,4000
-121.962,47.7277,12.8866410438833,3,2,14040,7,1890,14018
-122.343,47.6648,13.0919041699196,4,1,4300,7,1610,4300
-122.21,47.3089,12.1495022940418,2,1,9850,7,1060,5095
-122.306,47.3343,12.3458345879053,3,1,9774,7,1280,8850
-122.341,47.7025,12.8609986132699,4,1.75,4980,7,1400,4980
-122.169,47.3266,12.5602444592508,5,2.5,6300,8,2240,7005
-122.166,47.3533,12.4399582933763,2,1.5,9643,7,1220,8386
-122.172,47.3739,12.7038130297475,3,2.25,6500,8,2200,6865
-122.218,47.3048,12.3587937325478,3,2,4697,6,1030,4705
-122.36,47.6386,13.7504385612206,3,1.75,2691,8,1760,3573
-122.314,47.6221,13.4105453248978,3,1,1581,8,1860,3861
-122.304,47.695,12.9899741893586,3,1.75,6380,7,1520,6235
-122.11,47.7073,13.4856166367032,4,2.5,7173,8,2630,6026
-122.07,47.5391,13.2716450801201,3,2.5,3980,8,2580,3980
-122.357,47.7274,12.5425448821514,2,1.5,1265,7,1390,1756
-122.368,47.6823,13.4408171085229,4,1.75,5000,7,1460,5000
-122.375,47.6889,13.1900220258781,3,1,3000,8,1570,5080
-122.157,47.4276,12.683858415218,4,2.75,6659,7,2020,8720
-122.31,47.6827,13.4531049393166,3,2.5,3060,8,1590,3264
-122.132,47.6621,13.2176735572087,4,1,34848,5,2160,11467
-122.362,47.6702,13.3692234553359,4,2,6000,8,1730,4700
-122.282,47.3341,12.3883942023241,4,1,8075,7,1290,7800
-122.18,47.5301,13.312983737013,4,2.5,7553,8,2620,11884
-122.027,47.6145,13.3455069287185,4,2.5,5520,9,2470,5669
-122.347,47.445,13.5606183083355,4,2.25,24186,8,2410,30617
-122.016,47.6848,13.6669989486505,5,2.75,5639,9,3625,5639
-122.364,47.6413,13.4371741172444,3,1,2280,7,1580,2640
-122.175,47.4485,12.6410965558799,3,1,9656,6,1340,8808
-121.977,47.7443,13.0980706848353,3,2.5,13603,8,3050,9232
-122.371,47.3066,12.2571934250379,3,1,8528,6,1228,8840
-122.151,47.6194,13.5734389967645,4,2.5,13416,9,2680,13685
-122.301,47.6796,13.0170028617465,3,1.75,5963,7,970,5100
-122.451,47.4041,14.1156151504146,3,2.5,65005,9,2680,72513
-122.322,47.4258,12.3371009079366,3,1,9199,7,1190,9364
-122.189,47.4934,12.7512996960135,5,2.5,9134,8,1990,9133
-122.384,47.6808,13.3046849341983,3,1.75,4080,7,1410,4080
-122.369,47.6989,13.279367126214,2,1.75,8550,7,1480,6738
-122.281,47.6571,13.7321289490252,5,2.25,6000,8,2730,6000
